"filename", "language", "Markdown", "Python", "JSON", "HTML", "JavaScript", "XML", "JSON with Comments", "vue", "YAML", "PostCSS", "Properties", "Java", "MS SQL", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Role.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 8, 25, 102
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Task.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 26, 84
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\TaskComment.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 54
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 8, 35, 149
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowCondition.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 39, 16, 91
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowHistory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 39, 16, 91
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowInstance.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 66, 25, 146
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowNode.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 48, 19, 109
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowTask.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 66, 25, 145
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\WorkflowTemplate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 51, 20, 116
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\AnnouncementMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 42, 15, 116
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\AttendanceRecordMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 27, 10, 117
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\CollaborativeDocumentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 18, 9, 69
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\DepartmentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 36, 13, 93
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\DocumentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 15, 8, 50
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\EmployeeMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 33, 12, 96
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\LeaveApplicationMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 30, 11, 125
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\RoleMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 36, 13, 85
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\mapper\TaskCommentMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 4, 20
